BNE : 09       A: 00 X: 00 Y: 00 PC: C8C0 S: FB Cycle: 294 
BVC : 07       A: 00 X: 00 Y: 00 PC: C8C2 S: FB Cycle: 300 
BCS : 05       A: 00 X: 00 Y: 00 PC: C8C4 S: FB Cycle: 306 
BMI : 03       A: 00 X: 00 Y: 00 PC: C8C6 S: FB Cycle: 312 
JMP : CF C8    A: 00 X: 00 Y: 00 PC: C8C8 S: FB Cycle: 318 
NOP :          A: 00 X: 00 Y: 00 PC: C8CF S: FB Cycle: 327 
SEC :          A: 00 X: 00 Y: 00 PC: C8D0 S: FB Cycle: 333 
CLV :          A: 00 X: 00 Y: 00 PC: C8D1 S: FB Cycle: 339 
LDA : F8       A: 00 X: 00 Y: 00 PC: C8D2 S: FB Cycle: 4 
AND : EF       A: F8 X: 00 Y: 00 PC: C8D4 S: FB Cycle: 10 
BCC : 0B       A: E8 X: 00 Y: 00 PC: C8D6 S: FB Cycle: 16 
BPL : 09       A: E8 X: 00 Y: 00 PC: C8D8 S: FB Cycle: 22 
CMP : E8       A: E8 X: 00 Y: 00 PC: C8DA S: FB Cycle: 28 
BNE : 05       A: E8 X: 00 Y: 00 PC: C8DC S: FB Cycle: 34 
BVS : 03       A: E8 X: 00 Y: 00 PC: C8DE S: FB Cycle: 40 
JMP : E7 C8    A: E8 X: 00 Y: 00 PC: C8E0 S: FB Cycle: 46 
NOP :          A: E8 X: 00 Y: 00 PC: C8E7 S: FB Cycle: 55 
CLC :          A: E8 X: 00 Y: 00 PC: C8E8 S: FB Cycle: 61 
BIT : 01       A: E8 X: 00 Y: 00 PC: C8E9 S: FB Cycle: 67 
LDA : 5F       A: E8 X: 00 Y: 00 PC: C8EB S: FB Cycle: 76 
EOR : AA       A: 5F X: 00 Y: 00 PC: C8ED S: FB Cycle: 82 
BCS : 0B       A: F5 X: 00 Y: 00 PC: C8EF S: FB Cycle: 88 
BPL : 09       A: F5 X: 00 Y: 00 PC: C8F1 S: FB Cycle: 94 
CMP : F5       A: F5 X: 00 Y: 00 PC: C8F3 S: FB Cycle: 100 
BNE : 05       A: F5 X: 00 Y: 00 PC: C8F5 S: FB Cycle: 106 
BVC : 03       A: F5 X: 00 Y: 00 PC: C8F7 S: FB Cycle: 112 
JMP : 00 C9    A: F5 X: 00 Y: 00 PC: C8F9 S: FB Cycle: 118 
NOP :          A: F5 X: 00 Y: 00 PC: C900 S: FB Cycle: 127 
SEC :          A: F5 X: 00 Y: 00 PC: C901 S: FB Cycle: 133 
CLV :          A: F5 X: 00 Y: 00 PC: C902 S: FB Cycle: 139 
LDA : 70       A: F5 X: 00 Y: 00 PC: C903 S: FB Cycle: 145 
EOR : 70       A: 70 X: 00 Y: 00 PC: C905 S: FB Cycle: 151 
BNE : 09       A: 00 X: 00 Y: 00 PC: C907 S: FB Cycle: 157 
BVS : 07       A: 00 X: 00 Y: 00 PC: C909 S: FB Cycle: 163 
BCC : 05       A: 00 X: 00 Y: 00 PC: C90B S: FB Cycle: 169 
BMI : 03       A: 00 X: 00 Y: 00 PC: C90D S: FB Cycle: 175 
JMP : 16 C9    A: 00 X: 00 Y: 00 PC: C90F S: FB Cycle: 181 
